ANNEE,PREMPRENOM,NOMBREPREMPRENOM,ORDRE
2015,GABRIEL,102,1
2015,LOUIS,75,2
2015,JULES,74,3
2015,PAUL,70,4
2015,RAPHAËL,64,5
2015,ALICE,56,6
2015,ARTHUR,53,7
2015,LÉO,53,8
2015,LUCAS,52,9
2015,ETHAN,48,10
2015,HUGO,48,11
2015,LOUISE,48,12
2015,JADE,47,13
2015,ANNA,46,14
2015,EMMA,46,15
2015,ADAM,44,16
2015,CAMILLE,44,17
2015,SACHA,41,18
2015,ANTOINE,40,19
2015,CLÉMENT,40,20
2015,JEANNE,40,21
2015,LINA,40,22
2015,CHLOÉ,39,23
2015,JULIETTE,39,24
2015,THÉO,38,25
2015,GASPARD,37,26
2015,LOU,36,27
2015,LUCIE,36,28
2015,VALENTIN,36,29
2015,VICTOR,36,30
2015,AMBRE,35,31
2015,INÈS,35,32
2015,MANON,35,33
2015,MARGAUX,35,34
2015,NOLAN,35,35
2015,ROSE,35,36
2015,SARAH,35,37
2015,LIAM,34,38
2015,MARTIN,34,39
2015,MILA,34,40
2015,AGATHE,31,41
2015,BAPTISTE,31,42
2015,GABIN,31,43
2015,NATHAN,31,44
2015,TOM,31,45
2015,ENZO,30,46
2015,ZOÉ,30,47
2015,LÉON,29,48
2015,ROMANE,29,49
2015,CHARLOTTE,28,50
2015,LÉNA,28,51
2015,NOAH,28,52
2015,LOLA,27,53
2015,MAXIME,27,54
2015,SAMUEL,27,55
2015,ADÈLE,26,56
2015,ALIX,26,57
2015,CHARLIE,25,58
2015,CLARA,25,59
2015,EVA,25,60
2015,LÉA,25,61
2015,NOÉ,25,62
2015,AXEL,24,63
2015,CLÉMENCE,24,64
2015,ELSA,24,65
2015,NINA,24,66
2015,NINO,24,67
2015,PAULINE,24,68
2015,SIMON,24,69
2015,MAËL,23,70
2015,SOFIA,23,71
2015,YANIS,23,72
2015,ALEXIS,22,73
2015,MARIUS,22,74
2015,RAYAN,22,75
2015,EDEN,21,76
2015,TIAGO,21,77
2015,ALEXANDRE,20,78
2015,ANAÏS,20,79
2015,CHARLES,20,80
2015,LÉONIE,20,81
2015,ROBIN,20,82
2015,VICTORIA,20,83
2015,APOLLINE,19,84
2015,ESTEBAN,19,85
2015,INAYA,19,86
2015,JULIA,19,87
2015,MATHÉO,19,88
2015,MATHILDE,19,89
2015,MATHIS,19,90
2015,MAXENCE,19,91
2015,VALENTINE,19,92
2015,AARON,18,93
2015,CAPUCINE,18,94
2015,GABRIELLE,18,95
2015,JEAN,18,96
2015,OSCAR,18,97
2015,ROMAIN,18,98
2015,AMIR,17,99
2015,HÉLOÏSE,17,100
2014,LOUIS,77,1
2014,GABRIEL,73,2
2014,ADAM,68,3
2014,RAPHAËL,63,4
2014,CAMILLE,61,5
2014,EMMA,60,6
2014,LOUISE,60,7
2014,ARTHUR,58,8
2014,LUCAS,58,9
2014,PAUL,55,10
2014,ALICE,52,11
2014,JULES,50,12
2014,JADE,49,13
2014,HUGO,48,14
2014,LÉO,48,15
2014,SACHA,46,16
2014,ANNA,43,17
2014,CHLOÉ,43,18
2014,ANTOINE,42,19
2014,MANON,42,20
2014,TOM,42,21
2014,INÈS,41,22
2014,ETHAN,40,23
2014,LOU,39,24
2014,NATHAN,38,25
2014,JULIETTE,37,26
2014,LIAM,37,27
2014,MATHIS,37,28
2014,ENZO,36,29
2014,THÉO,36,30
2014,MAËL,35,31
2014,MARGAUX,35,32
2014,MAXIME,35,33
2014,CLÉMENT,34,34
2014,NOAH,34,35
2014,EVA,33,36
2014,MILA,33,37
2014,NOLAN,33,38
2014,LÉA,32,39
2014,LÉON,32,40
2014,ZOÉ,32,41
2014,ADÈLE,31,42
2014,ALEXANDRE,31,43
2014,JEANNE,31,44
